latitude,longitude,country_code
33.93911,67.709953,AF
41.153332,20.168331,AL
28.033886,1.659626,DZ
42.546245,1.601554,AD
-11.202692,17.873887,AO
18.220554,-63.068615,AI
17.060816,-61.796428,AG
-38.416097,-63.616672,AR
40.069099,45.038189,AM
12.52111,-69.968338,AW
-25.274398,133.775136,AU
47.516231,14.550072,AT
40.143105,47.576927,AZ
25.03428,-77.39628,BS
25.930414,50.637772,BH
23.684994,90.356331,BD
13.193887,-59.543198,BB
53.709807,27.953389,BY
50.503887,4.469936,BE
17.189877,-88.49765,BZ
9.30769,2.315834,BJ
32.321384,-64.75737,BM
27.514162,90.433601,BT
-16.290154,-63.588653,BO
43.915886,17.679076,BA
-22.328474,24.684866,BW
-14.235004,-51.92528,BR
4.535277,114.727669,BN
42.733883,25.48583,BG
12.238333,-1.561593,BF
-3.373056,29.918886,BI
16.002082,-24.013197,CV
12.565679,104.990963,KH
7.369722,12.354722,CM
56.130366,-106.346771,CA
19.513469,-80.566956,KY
6.611111,20.939444,CF
15.454166,18.732207,TD
55.378051,-3.435973,GB
-35.675147,-71.542969,CL
35.86166,104.195397,CN
4.570868,-74.297333,CO
-11.875001,43.872219,KM
-0.228021,15.827659,CG
-4.038333,21.758664,CD
9.748917,-83.753428,CR
7.539989,-5.54708,CI
45.1,15.2,HR
21.521757,-77.781167,CU
35.126413,33.429859,CY
49.817492,15.472962,CZ
56.26392,9.501785,DK
11.825138,42.590275,DJ
15.414999,-61.370976,DM
18.735693,-70.162651,DO
-1.831239,-78.183406,EC
26.820553,30.802498,EG
13.794185,-88.89653,SV
1.650801,10.267895,GQ
15.179384,39.782334,ER
58.595272,25.013607,EE
9.145,40.489673,ET
-51.796253,-59.523613,FK
61.892635,-6.911806,FO
-16.578193,179.414413,FJ
61.92411,25.748151,FI
46.227638,2.213749,FR
-17.679742,-149.406843,PF
-0.803689,11.609444,GA
13.443182,-15.310139,GM
42.315407,43.356892,GE
51.165691,10.451526,DE
7.946527,-1.023194,GH
36.137741,-5.345374,GI
71.706936,-42.604303,GL
12.262776,-61.604171,GD
15.783471,-90.230759,GT
9.945587,-9.696645,GN
11.803749,-15.180413,GW
4.860416,-58.93018,GY
18.971187,-72.285215,HT
41.902916,12.453389,VA
15.199999,-86.241905,HN
47.162494,19.503304,HU
64.963051,-19.020835,IS
20.593684,78.96288,IN
-0.789275,113.921327,ID
32.427908,53.688046,IR
33.223191,43.679291,IQ
53.41291,-8.24389,IE
54.236107,-4.548056,IM
31.046051,34.851612,IL
41.87194,12.56738,IT
18.109581,-77.297508,JM
36.204824,138.252924,JP
30.585164,36.238414,JO
48.019573,66.923684,KZ
-0.023559,37.906193,KE
35.907757,127.766922,KR
29.31166,47.481766,KW
41.20438,74.766098,KG
19.85627,102.495496,LA
56.879635,24.603189,LV
33.854721,35.862285,LB
-29.609988,28.233608,LS
6.428055,-9.429499,LR
26.3351,17.228331,LY
47.166,9.555373,LI
55.169438,23.881275,LT
49.815273,6.129583,LU
-18.766947,46.869107,MG
-13.254308,34.301525,MW
4.210484,101.975766,MY
3.202778,73.22068,MV
17.570692,-3.996166,ML
35.937496,14.375416,MT
7.131474,171.184478,MH
14.641528,-61.024174,MQ
21.00789,-10.940835,MR
-20.348404,57.552152,MU
-12.8275,45.166244,YT
23.634501,-102.552784,MX
47.411631,28.369885,MD
43.750298,7.412841,MC
46.862496,103.846656,MN
42.708678,19.37439,ME
16.742498,-62.187366,MS
31.791702,-7.09262,MA
-18.665695,35.529562,MZ
-22.95764,18.49041,
28.394857,84.124008,NP
52.132633,5.291266,NL
-20.904305,165.618042,NC
-40.900557,174.885971,NZ
12.865416,-85.207229,NI
17.607789,8.081666,NE
9.081999,8.675277,NG
41.608635,21.745275,MK
60.472024,8.468946,NO
21.512583,55.923255,OM
30.375321,69.345116,PK
8.537981,-80.782127,PA
-6.314993,143.95555,PG
-23.442503,-58.443832,PY
-9.189967,-75.015152,PE
12.879721,121.774017,PH
51.919438,19.145136,PL
39.399872,-8.224454,PT
25.354826,51.183884,QA
45.943161,24.96676,RO
61.52401,105.318756,RU
-1.940278,29.873888,RW
17.357822,-62.782998,KN
13.909444,-60.978893,LC
46.941936,-56.27111,PM
12.984305,-61.287228,VC
-13.759029,-172.104629,WS
43.94236,12.457777,SM
0.18636,6.613081,ST
23.885942,45.079162,SA
14.497401,-14.452362,SN
44.016521,21.005859,RS
-4.679574,55.491977,SC
8.460555,-11.779889,SL
1.352083,103.819836,SG
48.669026,19.699024,SK
46.151241,14.995463,SI
-9.64571,160.156194,SB
5.152149,46.199616,SO
-30.559482,22.937506,ZA
40.463667,-3.74922,ES
7.873054,80.771797,LK
12.862807,30.217636,SD
3.919305,-56.027783,SR
60.128161,18.643501,SE
46.818188,8.227512,CH
34.802075,38.996815,SY
23.69781,120.960515,TW
38.861034,71.276093,TJ
-6.369028,34.888822,TZ
15.870032,100.992541,TH
-8.874217,125.727539,TL
8.619543,0.824782,TG
10.691803,-61.222503,TT
33.886917,9.537499,TN
38.963745,35.243322,TR
21.694025,-71.797928,TC
1.373333,32.290275,UG
48.379433,31.16558,UA
23.424076,53.847818,AE
55.378051,-3.435973,GB
37.09024,-95.712891,US
-32.522779,-55.765835,UY
41.377491,64.585262,UZ
-15.376706,166.959158,VU
6.42375,-66.58973,VE
14.058324,108.277199,VN
31.952162,35.233154,PS
15.552727,48.516388,YE
-13.133897,27.849332,ZM
-19.015438,29.154857,ZW
